"electrode_id","coating","glucose_mmol_L","current_uA","data_origin"
"E14","modified",5,10.65,"synthetic"
"E11","modified",5,11.18,"synthetic"
"E19","modified",5,7.15,"synthetic"
"E13","modified",5,13.67,"synthetic"
"E05","standard",5,9.05,"synthetic"
"E18","modified",5,10.05,"synthetic"
"E01","standard",5,10.48,"synthetic"
"E07","standard",5,7.71,"synthetic"
"E04","standard",5,11.73,"synthetic"
"E16","modified",5,12.05,"synthetic"
"E10","standard",5,11.38,"synthetic"
"E02","standard",5,11.54,"synthetic"
"E09","standard",5,10.15,"synthetic"
"E06","standard",5,10.25,"synthetic"
"E03","standard",5,9.12,"synthetic"
"E15","modified",5,10.61,"synthetic"
"E08","standard",5,6.43,"synthetic"
"E12","modified",5,9.86,"synthetic"
"E20","modified",5,10.63,"synthetic"
"E17","modified",5,11.72,"synthetic"
